id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177847,2024-01-09,000001,Vente,65000,16,B,RUE FRANCOIS ARAGO,0390,97110,97120,Pointe-à-Pitre,971,,,97120000AM0029,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,96,-61.534287,16.239736
2024-1177865,2024-01-26,000001,Vente,58000,27,B,RUE BARBES,0110,97110,97120,Pointe-à-Pitre,971,,,97120000AH0464,,,,,,,,,,,,,0,1,Maison,132,4,S,sols,,,74,-61.536282,16.238892
2024-1177865,2024-01-26,000001,Vente,58000,27,B,RUE BARBES,0110,97110,97120,Pointe-à-Pitre,971,,,97120000AH0464,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,48,0,S,sols,,,74,-61.536282,16.238892
2024-1177883,2024-01-29,000001,Vente,370000,107,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AH0078,,,,,,,,,,,,,0,2,Appartement,37,2,S,sols,,,56,-61.535767,16.240663
2024-1177883,2024-01-29,000001,Vente,370000,107,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AH0078,,,,,,,,,,,,,0,2,Appartement,64,4,S,sols,,,56,-61.535767,16.240663
2024-1177883,2024-01-29,000001,Vente,370000,107,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AH0078,,,,,,,,,,,,,0,2,Appartement,37,2,S,sols,,,56,-61.535767,16.240663
2024-1177883,2024-01-29,000001,Vente,370000,107,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AH0078,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,140,0,S,sols,,,56,-61.535767,16.240663
2024-1177883,2024-01-29,000001,Vente,370000,107,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AH0078,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,84,0,S,sols,,,56,-61.535767,16.240663
2024-1177883,2024-01-29,000001,Vente,370000,107,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AH0078,,,,,,,,,,,,,0,2,Appartement,103,4,S,sols,,,56,-61.535767,16.240663
2024-1177883,2024-01-29,000001,Vente,370000,107,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AH0078,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,22,0,S,sols,,,56,-61.535767,16.240663
